payload;span;aspect_ratio;airfoil;total mass;take_off_length;climb_height;efficiency_points;distance;score_payload;score_efficiency;score_distance;b_loading;penalty_current;take_off_factor;penalty_round;score_round;score_round_corrected;wing_area;wing_loading
1.02;2.5;12;ag19;2.75044749;7.745600343;100;0.659776229;2926.432447;170;891.5894987;914.5101395;54.66666667;0;1.05;0;749.0348734;749.0348734;0.520833333;52.80859181
1.02;3;16;ag19;3.020471106;11.978539;100;0.668873144;2891.871245;170;903.8826275;903.7097642;54.66666667;0;1.05;0;749.5573371;749.5573371;0.5625;53.69726411
1.02;2;14;ag19;2.509110245;12.65940149;100;0.627431699;3071.937133;170;847.8806737;959.9803541;54.66666667;0;1.05;0;749.6513597;749.6513597;0.285714286;87.81885859
2.04;2.5;16;ag19;4.555789623;50.27125947;72.91913689;0.610922672;2983.341778;340;825.5711784;932.2943056;54.66666667;0;1;0;753.9551614;753.9551614;0.390625;116.6282143
1.02;2;16;ag19;2.849823969;22.68797726;100;0.633987451;3089.525032;170;856.7397986;965.4765724;54.66666667;0;1.05;0;754.6757298;754.6757298;0.25;113.9929588
2.04;3.5;10;ag19;4.715816163;10.93768326;80.54791794;0.632196242;2561.751306;340;854.3192458;800.5472832;54.66666667;0;1.05;0;755.6032852;755.6032852;1.225;38.49645847
1.02;2;10;ag19;2.533503429;9.084016505;100;0.657080091;3001.375749;170;887.9460695;937.9299214;54.66666667;0;1.05;0;755.9565968;755.9565968;0.4;63.33758572
1.02;2.5;14;ag19;2.730387179;10.92291307;100;0.668919332;2964.42898;170;903.9450435;926.3840562;54.66666667;0;1.05;0;757.5151849;757.5151849;0.446428571;61.16067282
2.04;3;8;ag19;4.494393464;11.02269243;84.89268852;0.636860851;2593.964048;340;860.6227715;810.6137649;54.66666667;0;1.05;0;761.3327878;761.3327878;1.125;39.95016413
3.57;3.5;8;ag19;6.705312772;26.15873465;44.5334919;0.487410686;2424.273412;595;658.6630893;757.5854412;54.66666667;0;1.05;0;761.3369857;761.3369857;1.53125;43.78979769
1.53;3;10;ag19;3.730719085;9.117068715;100;0.67892919;2693.560985;255;917.471878;841.7378078;54.66666667;0;1.05;0;762.37339;762.37339;0.9;41.45243427
4.59;3.5;8;ag19;7.837358035;58.00884333;24.34204869;0.445933043;2419.610666;765;602.6122196;756.1283331;54.66666667;0;1;0;762.5801843;762.5801843;1.53125;51.18274635
1.53;3.5;12;ag19;3.985947897;9.613909988;99.49349011;0.682270899;2687.247247;255;921.9877011;839.7647648;54.66666667;0;1.05;0;763.2633631;763.2633631;1.020833333;39.04602021
